User_ID,Evaluation_ID,Question ID,Question Text,Value
59419,4203,1,Individual,4
59419,4203,2,Interpersonal,4
59419,4203,3,Social,4
59419,4203,4,Overall,4
59419,4203,5,Feel you had nothing to look forward to?,1
59419,4203,6,Feel that life was meaningless?,0
59419,4203,7,Feel scared without any good reason?,0
59419,4203,8,Feel you were close to panic?,1
59419,4203,9,Found it hard to wind down?,0
59448,4204,1,Individual,3
59448,4204,2,Interpersonal,4
59448,4204,3,Social,4
59448,4204,4,Overall,3
59448,4204,5,Feel you had nothing to look forward to?,1
59448,4204,6,Feel that life was meaningless?,0
59448,4204,7,Feel scared without any good reason?,0
59448,4204,8,Feel you were close to panic?,0
59448,4204,9,Found it hard to wind down?,1
59448,4204,10,Feel intolerant of anything that kept you from what you were doing?,0
59448,4204,11,"Feel guilty about substance use (alcohol, drugs, etc)?",0
59448,4204,12,Get behind in your work?,3
59448,4204,13,Influence decisions concerning your work?,1
59448,4204,14,Find your work meaningful?,3
59448,4204,16,Feel treated fairly at work?,3
59419,4203,13,Influence decisions concerning your work?,1
59137,4207,9,Found it hard to wind down?,0
59137,4207,19,Feel that management trusted the employees to do their work well?,1
59361,4208,10,Feel intolerant of anything that kept you from what you were doing?,2
59361,4208,16,Feel treated fairly at work?,3
59361,4208,23,Get exposed to undesired sexual attention or violence?,0
59305,4209,12,Get behind in your work?,0
59392,4219,13,Influence decisions concerning your work?,3
59448,4204,15,Feel recognized and appreciated at work?,3
59419,4203,23,Get exposed to undesired sexual attention or violence?,0
59361,4208,15,Feel recognized and appreciated at work?,3
59361,4208,22,Feel work negatively affected your private life?,1
59233,4215,15,Feel recognized and appreciated at work?,2
59230,4222,17,Feel there is a good relationship with your colleagues?,3
59230,4222,22,Feel work negatively affected your private life?,0
59224,4224,9,Found it hard to wind down?,0
59373,4235,4,Overall,3
59129,4241,9,Found it hard to wind down?,3
59216,4243,11,"Feel guilty about substance use (alcohol, drugs, etc)?",1
59216,4243,17,Feel there is a good relationship with your colleagues?,3
59216,4243,18,Worry about becoming unemployed or being transferred against your will?,0
59129,4241,23,Get exposed to undesired sexual attention or violence?,0
59448,4204,17,Feel there is a good relationship with your colleagues?,3
59305,4209,1,Individual,2
59233,4215,16,Feel treated fairly at work?,2
